epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.35571,2.71025,3.58851,1.63707,0.00363,0.01752,0.00186,0.00051,1.72289,3.57403,1.14189,0.00012,0.00012,0.00012
2,10.4602,2.03254,3.2547,1.29708,0.1062,0.76721,0.20191,0.09038,1.73754,3.27423,1.06946,0.000258284,0.000258284,0.000258284
3,15.5104,1.94625,2.46171,1.17097,0.11084,0.79349,0.49015,0.23708,1.61846,2.85551,1.01056,0.00039472,0.00039472,0.00039472
4,20.5432,1.91937,2.02821,1.10259,0.90303,0.29139,0.59104,0.28713,1.63077,2.43926,0.99658,0.000529308,0.000529308,0.000529308
5,25.6004,1.83813,1.69088,1.0651,0.906,0.64581,0.79912,0.44438,1.58277,1.77315,1.00372,0.000662048,0.000662048,0.000662048
6,30.6554,1.87858,1.49232,1.05146,0.89502,0.76826,0.85938,0.4666,1.62641,1.39007,1.01033,0.00079294,0.00079294,0.00079294
7,35.6709,1.79358,1.27044,1.03412,0.84997,0.82603,0.87432,0.4887,1.54925,1.06033,0.98126,0.000921984,0.000921984,0.000921984
8,40.7113,1.7754,1.1811,1.02367,0.80641,0.80286,0.8195,0.45178,1.54359,1.14844,0.97347,0.00104918,0.00104918,0.00104918
9,45.8167,1.83799,1.19873,1.04884,0.71247,0.65832,0.69495,0.34123,1.73194,1.23429,1.03661,0.00117453,0.00117453,0.00117453
10,50.8178,1.71119,1.10589,1.02944,0.8515,0.71763,0.79426,0.42922,1.64668,1.23973,1.00846,0.00129803,0.00129803,0.00129803
11,55.7894,1.6997,1.04764,1.03984,0.86822,0.80812,0.85652,0.47715,1.55275,0.98661,0.98226,0.00141968,0.00141968,0.00141968
12,60.8458,1.6748,1.02074,1.0152,0.83445,0.81101,0.8662,0.46164,1.57924,0.94536,0.97573,0.00153948,0.00153948,0.00153948
13,65.8753,1.72032,1.00625,1.03616,0.81978,0.81227,0.85722,0.45857,1.53974,1.04392,0.9654,0.00165744,0.00165744,0.00165744
14,70.954,1.69248,0.9884,1.02638,0.84693,0.82728,0.88192,0.48367,1.43837,0.96826,0.93844,0.00177355,0.00177355,0.00177355
15,75.9901,1.66728,0.95118,1.02963,0.85636,0.83354,0.89502,0.48448,1.4675,0.84909,0.95054,0.0018152,0.0018152,0.0018152
16,81.0166,1.6553,0.92382,1.01925,0.91365,0.84753,0.92264,0.51049,1.4045,0.83533,0.94055,0.001802,0.001802,0.001802
17,85.9332,1.55847,0.85146,0.9943,0.8801,0.85482,0.90643,0.49555,1.42785,0.90087,0.94362,0.0017888,0.0017888,0.0017888
18,90.9314,1.59589,0.8627,1.00894,0.88272,0.86483,0.91788,0.50375,1.42465,0.81981,0.94409,0.0017756,0.0017756,0.0017756
19,95.9159,1.56104,0.85088,0.99163,0.90784,0.8373,0.92583,0.51135,1.38661,0.76932,0.93723,0.0017624,0.0017624,0.0017624
20,100.894,1.52717,0.82493,1.00688,0.89594,0.86208,0.93552,0.5136,1.44305,0.77032,0.9592,0.0017492,0.0017492,0.0017492
21,105.908,1.5944,0.84696,1.01642,0.89609,0.87427,0.93681,0.53133,1.38976,0.75018,0.94605,0.001736,0.001736,0.001736
22,110.856,1.50954,0.79866,0.98503,0.90652,0.87359,0.93739,0.51442,1.4845,0.73591,0.96722,0.0017228,0.0017228,0.0017228
23,115.88,1.58127,0.82265,1.0109,0.91941,0.90613,0.95257,0.56698,1.33684,0.67862,0.93721,0.0017096,0.0017096,0.0017096
24,120.855,1.5849,0.82344,1.00531,0.90201,0.8811,0.93124,0.53594,1.36699,0.7082,0.94832,0.0016964,0.0016964,0.0016964
25,125.791,1.52736,0.78758,0.99056,0.89813,0.89379,0.92854,0.52161,1.37157,0.72381,0.94607,0.0016832,0.0016832,0.0016832
26,130.743,1.54886,0.80838,0.99375,0.93185,0.88983,0.94622,0.56275,1.31555,0.67215,0.93721,0.00167,0.00167,0.00167
